id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro
1,43,2025,BIG BAG N° 3,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.0333,0,0.0966,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
2,43,2025,BIG BAG N° 4,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.04,0,0.13,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
3,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,496,0,Vignanello,0.003,0.02,0,0.15,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
4,15,2026,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,977,0,Vignanello,0.002,0.0466,0,0.1266,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
5,40,2025,BIG BAG N°11,S120/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.1133,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
6,42,2025,BIG BAG N°5,S121/2025,BIOLOGICHE,SGUSCIATE,13/15,300,0,Vignanello,0,0.0166,0,0.0833,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
7,43,2025,BIG BAG N° 1,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0366,0,0.0833,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
8,43,2025,BIG BAG N° 6,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.0966,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
9,43,2025,BIG BAG N° 7,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.003,0.0433,0,0.1666,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
10,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0166,0,0.12,0,,,2026-07-25T09:48:09.251471+00:00,2026-07-25T09:48:09.251471+00:00,0,,2025,false
