id,tipo,data,imballo,lotto,desc1,desc2,desc3,qta,magazzino,contratto_id,created_at,lotto_id,utente,ddt,nota,ddt_id,doc_id
38,USCITA,2026-09-11,BIG BAG N° 26,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,Vignanello,,2026-09-11T10:03:41.5665+00:00,155,gabriele.cristofori98@gmail.com,10/M/2026,,8,
39,TRASFERIMENTO,2026-09-11,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,977,ABC Service,Vignanello,2026-09-11T10:05:38.909246+00:00,5,gabriele.cristofori98@gmail.com,11/M/2026,,9,
40,ENTRATA,2026-09-11,"Conf. 2,5 kg",A2619P01,CONVENZIONALI,FARINA,,900,ABC Service,,2026-09-11T10:14:06.304277+00:00,484,gabriele.cristofori98@gmail.com,ABC 100/2026,rientro da lavorazione ABC,,6
41,TRASFORMAZIONE,2026-09-11,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,900,ABC Service,TRASF:484,2026-09-11T10:14:06.304277+00:00,5,gabriele.cristofori98@gmail.com,ABC 100/2026,lavorazione ABC -> A2619P01,,6
42,USCITA,2026-09-11,"Conf. 2,5 kg",A2619P01,CONVENZIONALI,FARINA,,900,ABC Service,,2026-09-11T10:14:06.304277+00:00,484,gabriele.cristofori98@gmail.com,ABC 100/2026,consegna diretta ABC a BIOSIC,,6
43,CALO,2026-09-11,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,75,ABC Service,CALO:7,2026-09-11T10:14:52.817935+00:00,5,gabriele.cristofori98@gmail.com,ABC SC 101/2026,calo peso da lavorazione ABC,,7
44,CALO,2026-09-11,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,2,ABC Service,DIFF:8,2026-09-11T10:15:10.244958+00:00,5,gabriele.cristofori98@gmail.com,CHIUSURA 11/M/2026,differenza non giustificata: SOTTO AL LIMITE,,8
45,TRASFERIMENTO,2026-09-11,BIG BAG N° 1,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,Caprarola,Vignanello,2026-09-11T11:36:43.422776+00:00,8,gabriele.cristofori98@gmail.com,12/M/2026,,10,
46,USCITA,2026-09-11,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,Fabbrica,1,2026-09-11T13:46:43.399369+00:00,44,gabriele.cristofori98@gmail.com,101,,,
47,USCITA,2026-09-11,BIG 25,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,901,Fabbrica,1,2026-09-11T13:47:10.011883+00:00,70,gabriele.cristofori98@gmail.com,102,,,
