id,tipo,data,imballo,lotto,desc1,desc2,desc3,qta,magazzino,contratto_id,created_at,lotto_id,utente,ddt
1,ENTRATA,2026-06-11,SACCO,PROVA,CONVENZIONALI,SGUSCIATE,9/11,100,Fabbrica,,2026-06-11T20:23:56.620782+00:00,286,gabriele.cristofori98@gmail.com,
4,ENTRATA,2026-06-11,SACCO1,PROVA1,CONVENZIONALI,TOSTATE,9/11,54,ABC Service,,2026-06-11T20:26:58.263991+00:00,287,gabriele.cristofori98@gmail.com,
5,TRASFERIMENTO,2026-06-11,BIG BAG N° 3,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,ABC Service,Vignanello,2026-06-11T20:40:12.28678+00:00,1,gabriele.cristofori98@gmail.com,
7,ENTRATA,2026-06-11,1,S106/2025,BIOLOGICHE,TOSTATE,11/13,1000,ABC Service,,2026-06-11T20:40:50.43502+00:00,288,gabriele.cristofori98@gmail.com,
8,TRASFERIMENTO,2026-06-11,BIG BAG N° 4,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,ABC Service,Vignanello,2026-06-11T20:49:21.674059+00:00,2,gabriele.cristofori98@gmail.com,
11,TRASFERIMENTO,2026-06-16,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,Fabbrica,2026-06-16T14:50:50.9263+00:00,80,gabriele.cristofori98@gmail.com,
14,TRASFORMAZIONE,2026-06-16,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,TRASF:291,2026-06-16T14:52:23.47663+00:00,80,gabriele.cristofori98@gmail.com,
15,ENTRATA,2026-06-16,BIG 5,FA04/2026,CONVENZIONALI,GRANELLA,9/11,900,ABC Service,,2026-06-16T14:52:23.580441+00:00,291,gabriele.cristofori98@gmail.com,
16,USCITA,2026-06-16,BIG BAG N° 4,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,ABC Service,,2026-06-16T21:17:43.20119+00:00,2,gabriele.cristofori98@gmail.com,
17,USCITA,2026-06-16,BIG BAG N° 5,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,Vignanello,,2026-06-16T21:17:48.611309+00:00,3,gabriele.cristofori98@gmail.com,01
18,USCITA,2026-06-16,BIG BAG N° 7,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,600,Vignanello,,2026-06-16T21:21:41.882469+00:00,4,gabriele.cristofori98@gmail.com,
19,ENTRATA,2026-06-17,big bag 1,SO1011,CONVENZIONALI,SGUSCIATE,9/11,10,Fabbrica,,2026-06-17T08:40:59.966114+00:00,292,gabriele.cristofori98@gmail.com,
