id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro
1,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,96,0,Vignanello,0.003,0.02,0,0.15,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
2,15,2026,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,977,0,Vignanello,0.002,0.0466,0,0.1266,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
3,40,2025,BIG BAG N°11,S120/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.1133,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
4,42,2025,BIG BAG N°5,S121/2025,BIOLOGICHE,SGUSCIATE,13/15,300,0,Vignanello,0,0.0166,0,0.0833,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
5,43,2025,BIG BAG N° 1,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0366,0,0.0833,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
7,43,2025,BIG BAG N° 7,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.003,0.0433,0,0.1666,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
8,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0166,0,0.12,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
9,43,2025,BIG BAG N° 9,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1133,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
10,43,2025,BIG BAG N° 10,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0366,0,0.1,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
11,43,2025,BIG BAG N° 11,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1333,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
12,15,2026,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.05,0,0.11,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
13,15,2026,BIG BAG N° 2,S109/2025,BIOLOGICHE,SGUSCIATE,13/15,670,0,Vignanello,0.001,0.05,0,0.11,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
14,43,2025,BIG BAG,VARI,BIOLOGICHE,SCARTI,13/15,560,0,Vignanello,0.359,0.09,0,0.37,0.026,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
15,43,2025,BIG BAG,VARI,BIOLOGICHE,SCARTI,11/13,415,0,Vignanello,0.426,0.12,0,0.29,0.018,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
16,12,2026,BIG BAG N° 5,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,962,0,Vignanello,0,0,0,0,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
17,7,2026,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,990,0,Vignanello,0.365,0,0,0,0.139,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
18,7,2026,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,872,0,Vignanello,0.392,0,0,0,0.164,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
19,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,931,0,Vignanello,0.356,0,0,0,0.236,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
20,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,949,0,Vignanello,0.413,0,0,0,0.197,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
21,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,1026,0,Vignanello,0.009,0,0,0,0.004,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
22,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,926,0,Vignanello,0.307,0,0,0,0.158,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
23,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,890,0,Vignanello,0.275,0,0,0,0.116,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
24,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,940,0,Vignanello,0.284,0,0,0,0.158,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
25,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,746,0,Vignanello,0.012,0,0,0,0.008,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
26,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,11/13,665,0,Vignanello,0.365,0.22,0,0.18,0.005,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
27,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,13/15,653,0,Vignanello,0.329,0.25,0,0.23,0.019,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
28,16,2026,BIG BAG N° 1,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.015,0,0.035,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
29,16,2026,BIG BAG N° 2,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.005,0,0.045,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
30,17,2026,BIG BAG N° 3,SO04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.001,0.005,0,0.02,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
31,24,2026,BIG BAG N° 1,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.008,0.0433,0,0.0666,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
32,24,2026,BIG BAG N° 2,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.012,0.04,0,0.0233,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
33,24,2026,BIG BAG N° 3,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.013,0.04,0,0.0433,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
34,24,2026,BIG BAG N° 4,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.01,0.0266,0,0.0466,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
35,24,2026,BIG BAG N° 5,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.018,0.0333,0,0.0566,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
36,24,2026,BIG BAG N° 6,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.013,0.0466,0,0.0433,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
37,24,2026,BIG BAG N° 7,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.01,0.04,0,0.0533,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
38,29,2026,BIG BAG N° 1,SO072026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.028,0.04,0,0.0733,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
39,29,2026,BIG BAG N° 2,SO072026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.015,0.0266,0,0.0366,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
40,29,2026,BIG BAG N° 3,SO072026,CONVENZIONALI,SGUSCIATE,9/11,1046,0,Fabbrica,0.016,0.0166,0,0.0466,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
41,17,2026,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.007,0.0166,0,0.0066,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.036,,2025,false
42,17,2026,BIG 6,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,429,0,Fabbrica,0.006,0.02,0,0.0166,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.043,,2025,false
43,21,2026,BIG 7,FA05/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.012,0.04,0,0.0666,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.065,,2025,false
44,25,2026,BIG 8,FA06/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.009,0.0233,0,0.04,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.077,,2025,false
45,25,2026,BIG 9,FA06/2026,CONVENZIONALI,SGUSCIATE,9/11,1060,0,Fabbrica,0.011,0.0366,0,0.0533,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.04,,2025,false
46,20,2026,BIG 3,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,635,0,Fabbrica,0.024,0.06,0,0.13,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0,,2025,false
47,43,2025,BIG 8,FA10/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.118,0.08,0,0.0633,0.2,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.018,,2025,false
48,45,2025,BIG 3,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0366,0,0.0333,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.009,,2025,false
49,45,2025,BIG 5,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.04,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.009,,2025,false
50,48,2025,BIG 6,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.04,0,,,2026-08-03T19:39:06.743322+00:00,2026-08-03T19:39:06.743322+00:00,0.008,,2025,false
51,48,2025,BIG 7,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.06,0,,,2026-08-03T19:39:07.054852+00:00,2026-08-03T19:39:07.054852+00:00,0.005,,2025,false
52,48,2025,BIG 8,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0333,0,0.02,0,,,2026-08-03T19:39:07.054852+00:00,2026-08-03T19:39:07.054852+00:00,0.009,,2025,false
53,49,2025,BIG 9,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.002,0.04,0,0.04,0,,,2026-08-03T19:39:07.054852+00:00,2026-08-03T19:39:07.054852+00:00,0.015,,2025,false
54,49,2025,BIG 11,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.06,0,,,2026-08-03T19:39:07.054852+00:00,2026-08-03T19:39:07.054852+00:00,0.013,,2025,false
